,word,sent,order,search_word,relation
67,hoop skirt,hoopskirt is a type of skirt.,3,hoopskirt,IsA
68,lawn mower,You are likely to find gas in a lawnmower.,3,lawnmower,AtLocation
69,lawn mower,A lawnmower is used to cut grass.,3,lawnmower,UsedFor
70,lawn mower,an engine is part of a lawnmower.,3,lawnmower,PartOf
71,lawn mower,noise is related to lawnmower.,3,lawnmower,RelatedTo
72,paddle wheel,paddle is a part of paddlewheel.,3,paddlewheel,PartOf
73,paddle wheel,roda de paletes is a translation of paddlewheel.,3,paddlewheel,Synonym
74,paddle wheel,paddle wheel is a synonym of paddlewheel.,3,paddlewheel,Synonym
75,paddle wheel,paddle box is a part of paddlewheel.,3,paddlewheel,PartOf
76,paddle wheel,siipiratas is a translation of paddlewheel.,3,paddlewheel,Synonym
77,paddle wheel,paddlewheel is a type of wheel.,3,paddlewheel,IsA
78,pencil case,You are likely to find a pencil sharpener in a pencilcase.,3,pencilcase,AtLocation
79,piggy bank,a piggybank is a place where people put coins.,3,piggybank,IsA
80,salt shaker,You are likely to find a saltshaker in you own kitchen.,3,saltshaker,AtLocation
81,salt shaker,a saltshaker is for salting food.,3,saltshaker,UsedFor
82,salt shaker,solniczka is a translation of saltshaker.,3,saltshaker,Synonym
83,salt shaker,saleiro is a translation of saltshaker.,3,saltshaker,Synonym
84,salt shaker,salt shaker is a synonym of saltshaker.,3,saltshaker,Synonym
85,salt shaker,gatzontzi is a translation of saltshaker.,3,saltshaker,Synonym
86,salt shaker,spargisale is a translation of saltshaker.,3,saltshaker,Synonym
87,salt shaker,You are likely to find a saltshaker in a resturant.,3,saltshaker,AtLocation
88,salt shaker,suolasirotin is a translation of saltshaker.,3,saltshaker,Synonym
89,salt shaker,saupoudreuse is a translation of saltshaker.,3,saltshaker,Synonym
90,salt shaker,saltshaker is a type of shaker.,3,saltshaker,IsA
91,salt shaker,a saltshaker is used for distributing salt.,3,saltshaker,UsedFor
92,salt shaker,A saltshaker is full of salt.,3,saltshaker,HasProperty
93,salt shaker,a saltshaker is for storing salt.,3,saltshaker,UsedFor
94,salt shaker,You are likely to find a saltshaker in a cruet.,3,saltshaker,AtLocation
95,salt shaker,a saltshaker is for dispensing salt.,3,saltshaker,UsedFor
96,salt shaker,a saltshaker has a cap with holes in it.,3,saltshaker,HasA
97,salt shaker,a saltshaker is for setting on the dining room table.,3,saltshaker,UsedFor
98,salt shaker,You are likely to find a saltshaker in a kitchen cupboard.,3,saltshaker,AtLocation
99,salt shaker,a saltshaker is for holding salt.,3,saltshaker,UsedFor
100,salt shaker,You are likely to find a saltshaker in a pair with pepper.,3,saltshaker,AtLocation
101,salt shaker,You are likely to find a saltshaker in a cabinet.,3,saltshaker,AtLocation
102,salt shaker,a saltshaker contains salt.,3,saltshaker,HasA
103,salt shaker,You are likely to find a saltshaker in a table setting.,3,saltshaker,AtLocation
104,salt shaker,You are likely to find a saltshaker in the cupboard.,3,saltshaker,AtLocation
105,salt shaker,You can use a saltshaker to salt your dinner.,3,saltshaker,UsedFor
106,salt shaker,a saltshaker is used for holding table salt.,3,saltshaker,UsedFor
107,salt shaker,You are likely to find a saltshaker in a restrauent.,3,saltshaker,AtLocation
108,salt shaker,a saltshaker is used to season some food with salt.,3,saltshaker,UsedFor
109,salt shaker,a saltshaker is used for delivering salt.,3,saltshaker,UsedFor
110,salt shaker,You are likely to find a saltshaker in dinner table.,3,saltshaker,AtLocation
111,school bus,You are likely to find a bus seat in a schoolbus.,3,schoolbus,AtLocation
112,seat belt,seatbelt is a synonym of seat belt.,3,seatbelt,Synonym
113,seat belt,A seatbelt is for safety.,3,seatbelt,UsedFor
114,seat belt,a seatbelt can be found in a car.,3,seatbelt,ReceivesAction
115,spider web,silk is related to spiderweb.,3,spiderweb,RelatedTo
116,sports car,A sportscar can corner well.,3,sportscar,CapableOf
117,sports car,A corvette is a sportscar.,3,sportscar,IsA
118,stone wall,jarruttaa is a translation of stonewall.,3,stonewall,Synonym
119,stone wall,stonewall is a way to delay.,3,stonewall,MannerOf
120,stone wall,contestar con evasivas is a translation of stonewall.,3,stonewall,Synonym
121,stone wall,stonewall is a way to obstruct.,3,stonewall,MannerOf
122,toy store,You are likely to find a beanbag in a toystore.,3,toystore,AtLocation
123,toy store,You are likely to find a toy balloon in a toystore.,3,toystore,AtLocation
124,hot pot,hotpot is a synonym of hot pot.,3,hotpot,Synonym
125,ice cream,icecream is a synonym of ice cream.,3,icecream,Synonym
126,ice cream,icecream is cold and sweet.,3,icecream,HasProperty
127,ice cream,a person wants icecream.,3,icecream,Desires
128,ice cream,icecream is cold.,3,icecream,HasProperty
129,ice cream,You would get in line because you want an icecream.,3,icecream,MotivatedByGoal
130,hot dog,hodari is a translation of hotdog.,3,hotdog,Synonym
131,hot dog,hot dog is a translation of hotdog.,3,hotdog,Synonym
132,hot dog,frankfurter bun is a part of hotdog.,3,hotdog,PartOf
133,hot dog,stunttailija is a translation of hotdog.,3,hotdog,Synonym
134,hot dog,chili dog is a type of hotdog.,3,hotdog,IsA
135,hot dog,hotdog is a type of exhibitionist.,3,hotdog,IsA
136,hot dog,hot dog is a synonym of hotdog.,3,hotdog,Synonym
137,hot dog,red hot is a translation of hotdog.,3,hotdog,Synonym
138,hot dog,red hot is a synonym of hotdog.,3,hotdog,Synonym
139,hot dog,hotdog is a translation of hotdog.,3,hotdog,Synonym
140,hot dog,frank is a part of hotdog.,3,hotdog,PartOf
141,hot dog,hotdog is a type of sandwich.,3,hotdog,IsA
142,hot dog,temppuilija is a translation of hotdog.,3,hotdog,Synonym
143,hot dog,hot dog is a synonym of hotdog.,3,hotdog,Synonym
144,hot dog,hotdog is a synonym of frank.,3,hotdog,Synonym
145,hot dog,hot dog is a translation of hotdog.,3,hotdog,Synonym
146,hot dog,hot dog is a translation of hotdog.,3,hotdog,Synonym
147,hot dog,finger is related to hotdog.,3,hotdog,RelatedTo
148,hot dog,stick is related to hotdog.,3,hotdog,RelatedTo
149,hot dog,mustard is related to hotdog.,3,hotdog,RelatedTo
150,hot dog,polish is related to hotdog.,3,hotdog,RelatedTo
151,pot pie,potpie is a type of dish.,3,potpie,IsA
152,pot pie,lihamuhennos is a translation of potpie.,3,potpie,Synonym
153,pot pie,pastel de carne is a translation of potpie.,3,potpie,Synonym
154,pot pie,lihapiirakka is a translation of potpie.,3,potpie,Synonym
155,tea cup,teacupful is a synonym of teacup.,3,teacup,Synonym
156,tea cup,kikara is a translation of teacup.,3,teacup,Synonym
157,tea cup,teekuppi is a translation of teacup.,3,teacup,Synonym
158,tea cup,secangkir teh is a translation of teacup.,3,teacup,Synonym
159,tea cup,teekupillinen is a translation of teacup.,3,teacup,Synonym
160,tea cup,cawan teh is a translation of teacup.,3,teacup,Synonym
161,tea cup,teacup is a type of containerful.,3,teacup,IsA
162,tea cup,cawan teh is a translation of teacup.,3,teacup,Synonym
163,tea cup,handle is a part of teacup.,3,teacup,PartOf
164,tea cup,teacup is a type of cup.,3,teacup,IsA
165,tea cup,A teacup is a dish.,3,teacup,IsA
166,tea cup,a teacup is a container.,3,teacup,IsA
167,rose hip,rosehip is a synonym of hip.,3,rosehip,Synonym
168,corn cob,corn cob is a synonym of corncob.,3,corncob,Synonym
169,corn cob,artaburu is a translation of corncob.,3,corncob,Synonym
170,corn cob,pannocchia is a translation of corncob.,3,corncob,Synonym
171,corn cob,corncob is a type of core.,3,corncob,IsA
172,corn cob,tongkol jagung is a translation of corncob.,3,corncob,Synonym
173,corn cob,corncob is a part of corn.,3,corncob,PartOf
174,corn cob,A corncob is yellow.,3,corncob,HasProperty
175,corn cob,pipe is related to corncob.,3,corncob,RelatedTo
